旅店名稱,旅客評分,旅客評鑑數目,旅店當天價格,行政區,lat,log
台北國際飯店 (Taipei International Hotel),7.6,404.0,3394.0,中山區,25.05189,121.52486
金帥飯店 (Kingshi Hotel),7.1,3493.0,942.0,萬華區,25.04262,121.50443
玫瑰精品旅館雙城館 (Rose Boutique Hotel shuangcheng Hall),8.5,910.0,2403.0,中山區,25.06578,121.52347
台北叙美行旅 - Hotel B7 Journey (Beauty Hotels Taipei - Hotel B7 Journey),8.1,2513.0,1391.0,中正區,25.04293,121.51288
樂居·微風 (Hotel le Home),8.9,1081.0,2301.0,中山區,25.05759,121.52348
富裕自由旅店 - 林森館 (RF Hotel - Lin Sen),8.0,1766.0,2056.0,中山區,25.04795,121.52161
北投老爺酒店 (Hotel Royal Beitou),8.9,2166.0,8001.0,北投區,25.13751,121.50351
原宿時空膠囊旅館 (UZ hostel),8.6,2088.0,523.0,板橋區,25.00878,121.46122
和逸飯店‧台北民生館 (Hotel Cozzi Minsheng Taipei),8.5,1364.0,4114.0,中山區,25.05767,121.53476
yummy,4.5,8.0,2177.0,萬華區,25.04976,121.52409
台灣青旅膠囊旅店 (Taiwan Youth Hostel & Capsule Hotel),9.2,2873.0,1361.0,中正區,25.04505,121.5175
碩美精品旅店 (Beauty Hotels Taipei- Hotel Bstay),8.4,1006.0,1747.0,中山區,25.05737,121.52283
淡水海灣驛站 (Bayview Tamsui Hotel),8.3,879.0,3101.0,淡水區,25.1691,121.44485
泊客青旅 (PARK HOSTEL),7.4,624.0,642.0,中正區,25.0457,121.51751
北投水美溫泉會館 (Beitou Sweetme Hotspring Resort),7.9,5341.0,5271.0,北投區,25.13615,121.50481
台北綠蒂飯店 (Taipei Lotty Hotel),8.0,1651.0,1728.0,中山區,25.0653,121.52669
柯達大飯店台北一店 (K Hotel Taipei),8.4,829.0,4793.0,中山區,25.05285,121.52296
上樺旅棧 (Good Life Hotel - Shang Hwa),8.3,525.0,2174.0,中山區,25.06364,121.52427
台北喜來登大飯店 (Sheraton Grand Taipei Hotel),8.4,993.0,7014.0,中正區,25.04468,121.52203
燦路都飯店 (Hotel Sunroute Taipei),8.1,1486.0,1823.0,中山區,25.06296,121.52311
甲山林湯旅 (JSL HOTEL),8.4,495.0,1969.0,中山區,25.056,121.53966
維多麗亞酒店 (Grand Victoria Hotel),8.4,670.0,8327.0,中山區,25.08427,121.55871
華泰王子大飯店 (Gloria Prince),7.8,1171.0,2933.0,中山區,25.05788,121.52543
歐遊國際連鎖精品旅館 - 新莊館 (ALL-UR Chain Boutique Motel),8.2,1436.0,2609.0,新莊區,25.05929,121.46029
友統大飯店 (Yotong Hotel),8.0,664.0,1365.0,大安區,25.04171,121.55144
九份風箏博物館民宿 (CF Kite Homestay),7.4,166.0,2456.0,瑞芳區,25.11061,121.84428
旅晨行旅 (Re-Change Hotel),8.1,2279.0,1250.0,中正區,25.04686,121.51319
台北士林萬麗酒店 (Renaissance Taipei Shihlin Hotel),8.7,334.0,6000.0,士林區,25.09284,121.52873
台北國際飯店 (Taipei International Hotel),7.6,404.0,3394.0,中山區,25.05189,121.52487
峻美精品商旅 (Beauty Hotels Taipei - Hotel Bnight),7.8,662.0,1128.0,中山區,25.05482,121.52589
YMCA台北青年國際旅館 (Y Hotel),8.2,3053.0,1855.0,中正區,25.04579,121.51637
金帥飯店 (Kingshi Hotel),7.1,3493.0,942.0,萬華區,25.04262,121.50443
玫瑰精品旅館雙城館 (Rose Boutique Hotel shuangcheng Hall),8.5,910.0,2403.0,中山區,25.06578,121.52347
愛行旅 (Hotel I Journey),8.5,1367.0,1573.0,中山區,25.05772,121.52195
新尚旅店 (Hotel 73),8.6,2908.0,1112.0,中正區,25.03466,121.52626
樂居·微風 (Hotel le Home),8.9,1081.0,2301.0,中山區,25.05759,121.52348
台北旅坊 (Bon Hotel Taipei),8.4,188.0,1894.0,中山區,25.05077,121.53319
台北北城大飯店 (City Hotel Taipei),7.7,361.0,1316.0,中山區,25.05481,121.5411
富裕自由旅店 - 林森館 (RF Hotel - Lin Sen),8.0,1766.0,2056.0,中山區,25.04968,121.52559
北投輕行旅 (Hotel Leisure Taipei),8.4,3678.0,1867.0,北投區,25.1379,121.48533
原宿時空膠囊旅館 (UZ hostel),8.6,2088.0,523.0,板橋區,25.00878,121.46122
和逸飯店‧台北民生館 (Hotel Cozzi Minsheng Taipei),8.5,1364.0,4114.0,中山區,25.05745,121.5364
城市商旅 - 北門館 (City Suites - Beimen),8.4,2253.0,1440.0,大同區,25.05215,121.5106
這裡那裡青年旅店站前館 (Here There Hostel Taipei),7.7,4062.0,828.0,中正區,25.0454,121.51543
麗敦精緻旅店 (Reedon Boutique Hotel),8.2,462.0,1869.0,士林區,25.10246,121.52127
yummy,4.5,8.0,2177.0,萬華區,25.05772,121.53535
密都飯店 (Meadow Hotel Taipei),7.4,1005.0,1097.0,中山區,25.05458,121.53813
碩美精品旅店 (Beauty Hotels Taipei- Hotel Bstay),8.4,1006.0,1747.0,中山區,25.05737,121.52283
淡水海灣驛站 (Bayview Tamsui Hotel),8.3,879.0,3101.0,淡水區,25.1691,121.44485
華夏香格里拉汽車旅館 (SL Motel),7.2,465.0,1226.0,中和區,24.9938,121.48439
泊客青旅 (PARK HOSTEL),7.4,624.0,642.0,中正區,25.04636,121.51976
賦樂旅居 (Hotel Proverbs Taipei),9.0,413.0,6630.0,大安區,25.04303,121.54581
北投水美溫泉會館 (Beitou Sweetme Hotspring Resort),7.9,5341.0,5271.0,北投區,25.13615,121.50481
立建旅館 (Hotel Lee Chan),7.1,784.0,904.0,松山區,25.04987,121.57523
野趣旅舍 (T.O. Hotel),8.3,720.0,1106.0,大同區,25.05563,121.51775
柯達大飯店台北一店 (K Hotel Taipei),8.4,829.0,4793.0,中山區,25.05285,121.52296
上樺旅棧 (Good Life Hotel - Shang Hwa),8.3,525.0,2174.0,中山區,25.06364,121.52427
台北喜來登大飯店 (Sheraton Grand Taipei Hotel),8.4,993.0,7014.0,中正區,25.04468,121.52203
